Borough,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
STATEN ISLAND,4,2013,Former ELL,124,305,23,18.5,67,54,27,21.8,7,5.6,34,27.4
STATEN ISLAND,4,2014,ELL,249,268,171,68.7,68,27.3,10,4,0,0,10,4
STATEN ISLAND,4,2014,EP,4127,306,969,23.5,1603,38.8,1044,25.3,511,12.4,1555,37.7
STATEN ISLAND,4,2014,Former ELL,94,306,14,14.9,54,57.4,20,21.3,6,6.4,26,27.7
STATEN ISLAND,4,2015,ELL,270,268,176,65.2,83,30.7,9,3.3,2,0.7,11,4.1
STATEN ISLAND,4,2015,EP,3996,307,906,22.7,1502,37.6,995,24.9,593,14.8,1588,39.7
STATEN ISLAND,4,2015,Former ELL,112,299,33,29.5,55,49.1,20,17.9,4,3.6,24,21.4
STATEN ISLAND,5,2013,ELL,250,267,185,74,62,24.8,3,1.2,0,0,3,1.2
STATEN ISLAND,5,2013,EP,4255,306,1124,26.4,1619,38,1080,25.4,432,10.2,1512,35.5
STATEN ISLAND,5,2013,Former ELL,103,303,25,24.3,48,46.6,27,26.2,3,2.9,30,29.1
STATEN ISLAND,5,2014,ELL,205,267,156,76.1,42,20.5,7,3.4,0,0,7,3.4
STATEN ISLAND,5,2014,EP,4294,305,1101,25.6,1677,39.1,1018,23.7,498,11.6,1516,35.3
STATEN ISLAND,5,2014,Former ELL,145,296,54,37.2,66,45.5,23,15.9,2,1.4,25,17.2
STATEN ISLAND,5,2015,ELL,202,266,150,74.3,47,23.3,5,2.5,0,0,5,2.5
STATEN ISLAND,5,2015,EP,4109,306,1045,25.4,1568,38.2,980,23.9,516,12.6,1496,36.4
STATEN ISLAND,5,2015,Former ELL,111,298,31,27.9,65,58.6,10,9,5,4.5,15,13.5
STATEN ISLAND,6,2013,ELL,162,257,135,83.3,26,16,0,0,1,0.6,1,0.6
STATEN ISLAND,6,2013,EP,3787,301,993,26.2,1659,43.8,616,16.3,519,13.7,1135,30
STATEN ISLAND,6,2013,Former ELL,147,288,56,38.1,82,55.8,5,3.4,4,2.7,9,6.1
STATEN ISLAND,6,2014,ELL,199,271,115,57.8,78,39.2,5,2.5,1,0.5,6,3
STATEN ISLAND,6,2014,EP,3886,306,732,18.8,1773,45.6,734,18.9,647,16.6,1381,35.5
STATEN ISLAND,6,2014,Former ELL,82,300,12,14.6,54,65.9,14,17.1,2,2.4,16,19.5
STATEN ISLAND,6,2015,ELL,172,268,122,70.9,43,25,6,3.5,1,0.6,7,4.1
STATEN ISLAND,6,2015,EP,3966,308,791,19.9,1628,41,768,19.4,779,19.6,1547,39
STATEN ISLAND,6,2015,Former ELL,87,298,24,27.6,46,52.9,10,11.5,7,8,17,19.5
STATEN ISLAND,7,2013,ELL,148,259,119,80.4,27,18.2,2,1.4,0,0,2,1.4
STATEN ISLAND,7,2013,EP,4020,303,1093,27.2,1621,40.3,1026,25.5,280,7,1306,32.5
STATEN ISLAND,7,2013,Former ELL,106,290,43,40.6,54,50.9,7,6.6,2,1.9,9,8.5
STATEN ISLAND,7,2014,ELL,147,258,128,87.1,16,10.9,2,1.4,1,0.7,3,2
STATEN ISLAND,7,2014,EP,3775,302,1004,26.6,1474,39,1004,26.6,293,7.8,1297,34.4
STATEN ISLAND,7,2014,Former ELL,108,287,50,46.3,51,47.2,6,5.6,1,0.9,7,6.5
STATEN ISLAND,7,2015,ELL,157,264,122,77.7,34,21.7,1,0.6,0,0,1,0.6
STATEN ISLAND,7,2015,EP,3891,305,916,23.5,1393,35.8,1265,32.5,317,8.1,1582,40.7
STATEN ISLAND,7,2015,Former ELL,102,291,47,46.1,41,40.2,13,12.7,1,1,14,13.7
STATEN ISLAND,8,2013,ELL,142,258,115,81,26,18.3,0,0,1,0.7,1,0.7
STATEN ISLAND,8,2013,EP,4016,302,1013,25.2,1640,40.8,964,24,399,9.9,1363,33.9
STATEN ISLAND,8,2013,Former ELL,55,287,25,45.5,23,41.8,6,10.9,1,1.8,7,12.7
STATEN ISLAND,8,2014,ELL,129,253,105,81.4,24,18.6,0,0,0,0,0,0
STATEN ISLAND,8,2014,EP,4019,304,804,20,1677,41.7,1127,28,411,10.2,1538,38.3
STATEN ISLAND,8,2014,Former ELL,62,289,24,38.7,31,50,6,9.7,1,1.6,7,11.3
STATEN ISLAND,8,2015,ELL,141,264,101,71.6,38,27,2,1.4,0,0,2,1.4
STATEN ISLAND,8,2015,EP,3768,309,664,17.6,1376,36.5,1214,32.2,514,13.6,1728,45.9
STATEN ISLAND,8,2015,Former ELL,64,292,16,25,36,56.3,12,18.8,0,0,12,18.8
STATEN ISLAND,All Grades,2013,ELL,1261,265,940,74.5,297,23.6,21,1.7,3,0.2,24,1.9
STATEN ISLAND,All Grades,2013,EP,24563,303,6539,26.6,9782,39.8,6003,24.4,2239,9.1,8242,33.6
STATEN ISLAND,All Grades,2013,Former ELL,686,298,209,30.5,345,50.3,111,16.2,21,3.1,132,19.2
STATEN ISLAND,All Grades,2014,ELL,1228,265,894,72.8,290,23.6,42,3.4,2,0.2,44,3.6
STATEN ISLAND,All Grades,2014,EP,24041,305,5755,23.9,9464,39.4,6244,26,2578,10.7,8822,36.7
STATEN ISLAND,All Grades,2014,Former ELL,695,297,219,31.5,341,49.1,121,17.4,14,2,135,19.4
STATEN ISLAND,All Grades,2015,ELL,1218,267,862,70.8,315,25.9,37,3,4,0.3,41,3.4
STATEN ISLAND,All Grades,2015,EP,23805,307,5529,23.2,8792,36.9,6472,27.2,3012,12.7,9484,39.8
STATEN ISLAND,All Grades,2015,Former ELL,660,297,211,32,322,48.8,107,16.2,20,3,127,19.2
