DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",7,2013,Male,32,291,17,53.1,9,28.1,4,12.5,2,6.3,6,18.8
01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",7,2014,Female,29,290,13,44.8,11,37.9,4,13.8,1,3.4,5,17.2
01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",7,2014,Male,24,305,6,25,15,62.5,3,12.5,0,0,3,12.5
01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",7,2015,Female,13,283,7,53.8,4,30.8,2,15.4,0,0,2,15.4
01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",7,2015,Male,18,273,13,72.2,3,16.7,1,5.6,1,5.6,2,11.1
01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",8,2013,Female,38,273,23,60.5,13,34.2,2,5.3,0,0,2,5.3
01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",8,2013,Male,41,267,31,75.6,9,22,1,2.4,0,0,1,2.4
01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",8,2014,Female,28,283,16,57.1,9,32.1,3,10.7,0,0,3,10.7
01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",8,2014,Male,32,297,11,34.4,15,46.9,4,12.5,2,6.3,6,18.8
01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",8,2015,Female,29,289,12,41.4,13,44.8,2,6.9,2,6.9,4,13.8
