DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
01M019,P.S. 019 ASHER LEVY,4,2015,EP,29,305,3,10.3,15,51.7,10,34.5,1,3.4,11,37.9
01M019,P.S. 019 ASHER LEVY,4,2015,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,5,2013,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,5,2013,EP,32,306,5,15.6,18,56.3,9,28.1,0,0,9,28.1
01M019,P.S. 019 ASHER LEVY,5,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,5,2014,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,5,2014,EP,31,292,12,38.7,13,41.9,5,16.1,1,3.2,6,19.4
01M019,P.S. 019 ASHER LEVY,5,2015,EP,28,316,4,14.3,12,42.9,9,32.1,3,10.7,12,42.9
01M019,P.S. 019 ASHER LEVY,5,2015,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,All Grades,2013,ELL,7,278,4,57.1,3,42.9,0,0,0,0,0,0
01M019,P.S. 019 ASHER LEVY,All Grades,2013,EP,102,296,34,33.3,51,50,16,15.7,1,1,17,16.7
01M019,P.S. 019 ASHER LEVY,All Grades,2013,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,All Grades,2014,ELL,7,292,3,42.9,3,42.9,1,14.3,0,0,1,14.3
01M019,P.S. 019 ASHER LEVY,All Grades,2014,EP,95,302,28,29.5,36,37.9,25,26.3,6,6.3,31,32.6
01M019,P.S. 019 ASHER LEVY,All Grades,2014,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,All Grades,2015,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,All Grades,2015,EP,84,308,17,20.2,35,41.7,27,32.1,5,6,32,38.1
01M019,P.S. 019 ASHER LEVY,All Grades,2015,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M020,P.S. 020 ANNA SILVER,3,2013,ELL,18,274,12,66.7,6,33.3,0,0,0,0,0,0
01M020,P.S. 020 ANNA SILVER,3,2013,EP,52,298,15,28.8,25,48.1,12,23.1,0,0,12,23.1
01M020,P.S. 020 ANNA SILVER,3,2013,Former ELL,7,326,0,0,2,28.6,5,71.4,0,0,5,71.4
01M020,P.S. 020 ANNA SILVER,3,2014,ELL,19,267,15,78.9,4,21.1,0,0,0,0,0,0
01M020,P.S. 020 ANNA SILVER,3,2014,EP,68,280,41,60.3,19,27.9,7,10.3,1,1.5,8,11.8
01M020,P.S. 020 ANNA SILVER,3,2014,Former ELL,8,300,3,37.5,3,37.5,2,25,0,0,2,25
01M020,P.S. 020 ANNA SILVER,3,2015,ELL,6,245,5,83.3,1,16.7,0,0,0,0,0,0
01M020,P.S. 020 ANNA SILVER,3,2015,EP,79,296,29,36.7,24,30.4,22,27.8,4,5.1,26,32.9
01M020,P.S. 020 ANNA SILVER,3,2015,Former ELL,6,300,0,0,6,100,0,0,0,0,0,0
01M020,P.S. 020 ANNA SILVER,4,2013,ELL,13,279,8,61.5,2,15.4,3,23.1,0,0,3,23.1
