DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,4,2015,All Students,96,346,3,3.1,9,9.4,23,24,61,63.5,84,87.5
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,5,2013,All Students,89,335,7,7.9,15,16.9,32,36,35,39.3,67,75.3
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,5,2014,All Students,71,340,5,7,9,12.7,27,38,30,42.3,57,80.3
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,5,2015,All Students,89,343,3,3.4,16,18,31,34.8,39,43.8,70,78.7
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,All Grades,2013,All Students,261,332,16,6.1,56,21.5,90,34.5,99,37.9,189,72.4
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,All Grades,2014,All Students,266,337,13,4.9,39,14.7,103,38.7,111,41.7,214,80.5
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,All Grades,2015,All Students,276,341,10,3.6,43,15.6,83,30.1,140,50.7,223,80.8
02M041,P.S. 041 GREENWICH VILLAGE,3,2013,All Students,150,330,8,5.3,34,22.7,52,34.7,56,37.3,108,72
02M041,P.S. 041 GREENWICH VILLAGE,3,2014,All Students,123,329,5,4.1,25,20.3,52,42.3,41,33.3,93,75.6
02M041,P.S. 041 GREENWICH VILLAGE,3,2015,All Students,113,340,1,0.9,18,15.9,36,31.9,58,51.3,94,83.2
02M041,P.S. 041 GREENWICH VILLAGE,4,2013,All Students,121,339,4,3.3,18,14.9,37,30.6,62,51.2,99,81.8
02M041,P.S. 041 GREENWICH VILLAGE,4,2014,All Students,143,352,2,1.4,15,10.5,29,20.3,97,67.8,126,88.1
02M041,P.S. 041 GREENWICH VILLAGE,4,2015,All Students,118,349,1,0.8,11,9.3,27,22.9,79,66.9,106,89.8
02M041,P.S. 041 GREENWICH VILLAGE,5,2013,All Students,111,330,7,6.3,25,22.5,52,46.8,27,24.3,79,71.2
02M041,P.S. 041 GREENWICH VILLAGE,5,2014,All Students,115,339,6,5.2,19,16.5,45,39.1,45,39.1,90,78.3
02M041,P.S. 041 GREENWICH VILLAGE,5,2015,All Students,134,343,4,3,12,9,56,41.8,62,46.3,118,88.1
02M041,P.S. 041 GREENWICH VILLAGE,All Grades,2013,All Students,382,333,19,5,77,20.2,141,36.9,145,38,286,74.9
02M041,P.S. 041 GREENWICH VILLAGE,All Grades,2014,All Students,381,341,13,3.4,59,15.5,126,33.1,183,48,309,81.1
02M041,P.S. 041 GREENWICH VILLAGE,All Grades,2015,All Students,365,344,6,1.6,41,11.2,119,32.6,199,54.5,318,87.1
02M042,P.S. 042 BENJAMIN ALTMAN,3,2013,All Students,118,328,6,5.1,32,27.1,36,30.5,44,37.3,80,67.8
